,time,prophet_pred,arima_pred,values,precinct_number
127,2024-02-01,0.4047055796908238,0.42371438167067,,22
128,2024-03-01,0.2032131360431275,0.42371438167067,,22
129,2024-04-01,0.0963290630459617,0.42371438167067,,22
130,2024-05-01,0.1915588679068018,0.42371438167067,,22
131,2024-06-01,0.2873941095612731,0.42371438167067,,22
108,2022-07-01,89.30153985352158,95.74884981055358,90.0,23
109,2022-08-01,99.64227994012028,86.55852670894153,103.0,23
110,2022-09-01,92.71241422837964,92.84664251530766,72.0,23
111,2022-10-01,106.68123056728784,77.8519048232038,88.0,23
112,2022-11-01,99.97239957301193,85.59112427719289,88.0,23
113,2022-12-01,89.3746652292282,85.59112427719289,77.0,23
114,2023-01-01,95.88849921968874,80.27041090257538,106.0,23
115,2023-02-01,83.90354024651803,94.29774616293062,97.0,23
116,2023-03-01,103.3652619659488,89.94443522006175,120.0,23
117,2023-04-01,86.45582068216007,101.06956318517108,82.0,23
118,2023-05-01,90.77321423178208,82.68891698194697,103.0,23
119,2023-06-01,81.87162676610473,92.84664251530766,94.0,23
120,2023-07-01,91.79137071610124,88.49333157243879,,23
121,2023-08-01,101.19991303446594,85.82974935861071,,23
122,2023-09-01,94.26048755812724,84.54137140320087,,23
123,2023-10-01,109.15672783853437,83.91818141966345,,23
124,2023-11-01,102.2751998109672,83.61674366690572,,23
125,2023-12-01,91.4861313491397,83.47093785938638,,23
126,2024-01-01,98.0771979386502,83.40041141300773,,23
127,2024-02-01,86.45341580726814,83.36629768514308,,23
128,2024-03-01,107.24920216375104,83.34979683349695,,23
129,2024-04-01,89.05967007828986,83.34181535149276,,23
130,2024-05-01,93.02303970092994,83.33795469894285,,23
131,2024-06-01,82.41482993330939,83.33608729661039,,23
108,2022-07-01,115.95630460214912,129.5698166091514,146.0,24
109,2022-08-01,128.15925293516727,113.85518192163528,120.0,24
110,2022-09-01,129.02767699677352,127.3493069410864,125.0,24
111,2022-10-01,129.76507453604515,105.1481164265888,108.0,24
112,2022-11-01,129.35285157385275,121.1468982858714,115.0,24
113,2022-12-01,98.99697122244044,101.46921978560258,83.0,24
114,2023-01-01,130.49133019379522,109.92701853958168,139.0,24
115,2023-02-01,105.32230822413342,110.42734430314091,139.0,24
116,2023-03-01,127.92550839893522,135.11059690074467,135.0,24
117,2023-04-01,103.21434402974918,110.5201756035732,107.0,24
118,2023-05-01,117.10389794135068,120.23333182449916,125.0,24
119,2023-06-01,106.7496390533447,105.93094373996362,124.0,24
120,2023-07-01,117.57270664656048,126.9158057545174,,24
121,2023-08-01,128.86300576272112,108.1257707615689,,24
122,2023-09-01,130.85859797020737,119.28782467587396,,24
123,2023-10-01,131.88890804217743,104.9966428545524,,24
124,2023-11-01,131.29241894785133,117.50297834183594,,24
125,2023-12-01,100.62320738979024,104.5272870663432,,24
126,2024-01-01,132.6938095876028,116.94753829601348,,24
127,2024-02-01,107.05143059715772,104.6077529006388,,24
128,2024-03-01,130.7783724691943,116.65590589358588,,24
129,2024-04-01,106.46910557098256,104.79680720249354,,24
130,2024-05-01,117.51361772207083,116.42580692914407,,24
131,2024-06-01,106.20689469724618,105.00236174508323,,24
108,2022-07-01,55.73273298092196,54.353363396673245,67.0,25
109,2022-08-01,67.48622120938869,60.40422355612637,58.0,25
110,2022-09-01,62.074240389421725,56.75182851101579,53.0,25
111,2022-10-01,67.78019780940892,54.62252809706886,44.0,25
112,2022-11-01,62.09296682773852,50.62934334762743,60.0,25
113,2022-12-01,49.59112972899592,57.333819334477965,34.0,25
114,2023-01-01,58.76122266934858,46.10290357372305,61.0,25
115,2023-02-01,57.12939552864623,57.3787154442744,57.0,25
116,2023-03-01,65.25426194420676,55.7840359544938,72.0,25
117,2023-04-01,54.77640786459448,62.37759768655296,42.0,25
118,2023-05-01,62.49425692150751,49.69031902178923,68.0,25
119,2023-06-01,46.86288106901056,60.71287026767585,39.0,25
120,2023-07-01,57.89838795863911,48.3649799597594,,25
121,2023-08-01,68.96418981252697,52.06174901680461,,25
122,2023-09-01,63.72449689638636,53.52102618769544,,25
123,2023-10-01,69.47475907298445,54.09706700296487,,25
124,2023-11-01,63.95527659716596,54.32445562212192,,25
125,2023-12-01,51.51827107590636,54.41421590082364,,25
126,2024-01-01,60.58323851207549,54.44964822660352,,25
127,2024-02-01,59.00045930724194,54.46363492237062,,25
128,2024-03-01,67.6308921760891,54.46915608572007,,25
129,2024-04-01,56.96834323316667,54.47133553147616,,25
130,2024-05-01,63.98300460064003,54.47219585447388,,25
131,2024-06-01,48.72957037666421,54.47253546176089,,25
108,2022-07-01,38.49704174772232,44.08412773852681,45.0,26
109,2022-08-01,52.06197794442362,44.46677168475356,56.0,26
110,2022-09-01,50.19213290637307,48.67585509324783,43.0,26
111,2022-10-01,49.22764801753306,43.70148379230006,45.0,26
112,2022-11-01,46.590850226214826,44.46677168475356,46.0,26
113,2022-12-01,34.64033315988621,44.84941563098032,26.0,26
114,2023-01-01,40.24391862366051,37.19653670644529,46.0,26
115,2023-02-01,40.55281472524149,44.84941563098032,54.0,26
116,2023-03-01,46.27467766869091,47.910567200794326,58.0,26
117,2023-04-01,42.01319724304741,49.441142985701326,50.0,26
118,2023-05-01,45.73398471674233,46.37999141588732,46.0,26
119,2023-06-01,36.720256651941234,44.84941563098032,48.0,26
120,2023-07-01,38.33676549507573,45.61470352343382,,26
121,2023-08-01,51.680911199760615,44.70198426671977,,26
122,2023-09-01,49.77898235029136,44.35273776853356,,26
123,2023-10-01,49.266157014715525,44.21910071026171,,26
124,2023-11-01,46.30825792009605,44.16796529892244,,26
125,2023-12-01,34.659515508357764,44.14839864333565,,26
126,2024-01-01,40.36583163341625,44.14091158102746,,26
127,2024-02-01,40.39964910309564,44.13804670196021,,26
128,2024-03-01,48.073467347646016,44.13695047332845,,26
129,2024-04-01,41.12650789429183,44.13653100807883,,26
130,2024-05-01,45.11366766999243,44.13637050224041,,26
131,2024-06-01,36.002096865171744,44.13630908565301,,26
108,2022-07-01,82.98607207583356,78.8396857643889,76.0,28
109,2022-08-01,99.9520831226342,91.63717058452109,79.0,28
110,2022-09-01,108.70431033292893,91.17193089610149,110.0,28
111,2022-10-01,106.0780141378868,107.5952467453954,100.0,28
112,2022-11-01,100.0907053405904,104.72831448382404,108.0,28
113,2022-12-01,85.35802004319117,97.34624828231408,80.0,28
114,2023-01-01,97.92539684697518,87.93147271990061,83.0,28
115,2023-02-01,90.0135739215825,83.14765354858847,89.0,28
116,2023-03-01,105.41229873772096,95.6422577960241,104.0,28
117,2023-04-01,90.44307106126182,102.35111933950118,71.0,28
118,2023-05-01,87.80262241048432,84.68424514231066,89.0,28
119,2023-06-01,80.68198663310683,84.33656066165591,58.0,28
120,2023-07-01,87.70828682532618,81.00550896383989,,28
121,2023-08-01,104.4614883547732,81.35306803754321,,28
122,2023-09-01,113.15152729703604,93.79403682616916,,28
123,2023-10-01,110.4982232552395,91.39380471039868,,28
124,2023-11-01,104.51241732144742,91.55301231840066,,28
125,2023-12-01,89.97740373978199,87.35888049964376,,28
126,2024-01-01,102.53108549988752,86.4651666210636,,28
127,2024-02-01,94.67735278070458,85.6380419903077,,28
128,2024-03-01,110.09611948571732,86.57207864550688,,28
129,2024-04-01,95.33312265610898,87.15393468121592,,28
130,2024-05-01,92.46957542980532,87.74772824693974,,28
131,2024-06-01,85.41051905279424,87.7423040152307,,28
108,2022-07-01,35.77000617202847,40.549712482980496,40.0,30
109,2022-08-01,45.21992781610699,40.549712482980496,50.0,30
110,2022-09-01,42.79401790462368,44.50960749845581,40.0,30
111,2022-10-01,44.75443548861304,40.549712482980496,38.0,30
112,2022-11-01,39.26783894810181,39.75773347988543,34.0,30
113,2022-12-01,38.228707932861816,38.1737754736953,39.0,30
114,2023-01-01,36.78482085306778,40.15372298143296,38.0,30
115,2023-02-01,35.05857681207821,39.75773347988543,44.0,30
116,2023-03-01,39.588023123756095,42.13367048917063,43.0,30
117,2023-04-01,34.620202706022525,41.73768098762309,22.0,30
118,2023-05-01,39.37733730156638,33.42190145512492,44.0,30
119,2023-06-01,27.95169241429581,42.13367048917063,34.0,30
120,2023-07-01,35.41989877563883,38.1737754736953,,30
121,2023-08-01,44.35683403032294,39.82654674309522,,30
122,2023-09-01,41.854427499393445,40.48102681423698,,30
123,2023-10-01,44.19017819051528,40.7401940513812,,30
124,2023-11-01,38.82968984768286,40.84282155643538,,30
125,2023-12-01,37.64363323493505,40.883460971006855,,30
126,2024-01-01,36.15493357809669,40.8995537525262,,30
127,2024-02-01,34.69138628398112,40.90592632505855,,30
128,2024-03-01,40.11336390509178,40.90844979687922,,30
129,2024-04-01,34.03410338397849,40.909449065227655,,30
130,2024-05-01,38.68702829073863,40.90984476500287,,30
131,2024-06-01,26.943597860773465,40.91000145795961,,30
108,2022-07-01,58.9104680554192,58.6846252318602,73.0,32
109,2022-08-01,68.9517058500332,68.78529947670826,54.0,32
110,2022-09-01,64.90222181137796,59.1032385230554,71.0,32
111,2022-10-01,73.98841287930745,67.66903712199108,91.0,32
112,2022-11-01,63.66747114556017,78.42682134069227,59.0,32
113,2022-12-01,58.44487469162668,62.51922392492654,45.0,32
114,2023-01-01,69.74720205556356,54.90221925079487,65.0,32
115,2023-02-01,63.13085158473289,64.69548994207923,68.0,32
116,2023-03-01,68.98071384115492,66.29493500624872,68.0,32
117,2023-04-01,63.89503555572968,66.41921034245827,47.0,32
118,2023-05-01,65.1496232795469,55.49367391711039,47.0,32
119,2023-06-01,50.41594196946807,54.87460415936354,47.0,32
120,2023-07-01,62.01657816756885,54.30065591032495,,32
